icd_decimal,icd_short,overlap_ufhealth,request_idr
I63.529,I63529,0,yes
I63.53,I6353,0,yes
I63.533,I63533,0,yes
I63.539,I63539,0,yes
I63.54,I6354,0,yes
I63.541,I63541,0,yes
I63.543,I63543,0,yes
I63.59,I6359,0,yes
I65,I65,0,yes
I65.0,I650,0,yes
I65.2,I652,0,yes
I65.9,I659,0,yes
I66,I66,0,yes
I66.0,I660,0,yes
I66.03,I6603,0,yes
I66.1,I661,0,yes
I66.13,I6613,0,yes
I66.19,I6619,0,yes
I66.2,I662,0,yes
I66.29,I6629,0,yes
I67,I67,0,yes
I67.0,I670,0,yes
I67.1,I671,0,yes
I67.2,I672,0,yes
I67.3,I673,0,yes
I67.5,I675,0,yes
I67.6,I676,0,yes
I67.7,I677,0,yes
I67.8,I678,0,yes
I67.81,I6781,0,yes
I67.82,I6782,0,yes
I67.83,I6783,0,yes
I67.84,I6784,0,yes
I67.841,I67841,0,yes
I67.848,I67848,0,yes
I67.85,I6785,0,yes
I67.850,I67850,0,yes
I67.858,I67858,0,yes
I67.89,I6789,0,yes
I67.9,I679,0,yes
I68,I68,0,yes
I68.0,I680,0,yes
I68.2,I682,0,yes
I68.8,I688,0,yes
O22.50,O2250,0,yes
O22.52,O2252,0,yes
I97.81,I9781,0,yes
I97.810,I97810,0,yes
I97.811,I97811,0,yes
I97.82,I9782,0,yes
I97.820,I97820,0,yes
I97.821,I97821,0,yes
J81.0,J810,0,yes
I50.814,I50814,0,yes
O29.112,O29112,0,yes
O29.113,O29113,0,yes
O29.119,O29119,0,yes
O29.122,O29122,0,yes
O29.123,O29123,0,yes
O29.129,O29129,0,yes
O29.192,O29192,0,yes
O29.193,O29193,0,yes
O29.199,O29199,0,yes
O29.212,O29212,0,yes
O29.213,O29213,0,yes
O29.219,O29219,0,yes
O29.292,O29292,0,yes
O29.299,O29299,0,yes
O74.0,O740,0,yes
O74.1,O741,0,yes
O74.3,O743,0,yes
O89.0,O890,0,yes
O89.01,O8901,0,yes
O89.09,O8909,0,yes
O89.1,O891,0,yes
T88.2XXA,T882XXA,0,yes
T88.3XXA,T883XXA,0,yes
R65.2,R652,0,yes
R65.20,R6520,0,yes
R65.21,R6521,0,yes
T81.12XA,T8112XA,0,yes
T81.44XA,T8144XA,0,yes
I76,I76,0,yes
A40,A40,0,yes
A40.0,A400,0,yes
A40.1,A401,0,yes
A40.3,A403,0,yes
A40.8,A408,0,yes
A40.9,A409,0,yes
A41,A41,0,yes
A41.0,A410,0,yes
A41.01,A4101,0,yes
A41.02,A4102,0,yes
A41.1,A411,0,yes
A41.2,A412,0,yes
A41.3,A413,0,yes
A41.4,A414,0,yes
A41.5,A415,0,yes
A41.50,A4150,0,yes
A41.51,A4151,0,yes
A41.52,A4152,0,yes
A41.53,A4153,0,yes
A41.59,A4159,0,yes
A41.8,A418,0,yes
A41.81,A4181,0,yes
A41.89,A4189,0,yes
A41.9,A419,0,yes
A32.7,A327,0,yes
R57,R57,0,yes
R57.1,R571,0,yes
R57.8,R578,0,yes
R57.9,R579,0,yes
T78.2XXA,T782XXA,0,yes
T88.6XXA,T886XXA,0,yes
T81.10XA,T8110XA,0,yes
T81.11XA,T8111XA,0,yes
T81.19XA,T8119XA,0,yes
D57.0,D570,0,yes
D57.21,D5721,0,yes
D57.213,D57213,0,yes
D57.41,D5741,0,yes
D57.411,D57411,0,yes
D57.412,D57412,0,yes
D57.413,D57413,0,yes
D57.418,D57418,0,yes
D57.81,D5781,0,yes
D57.811,D57811,0,yes
D57.812,D57812,0,yes
D57.813,D57813,0,yes
D57.818,D57818,0,yes
I26,I26,0,yes
I26.0,I260,0,yes
I26.01,I2601,0,yes
I26.02,I2602,0,yes
I26.09,I2609,0,yes
I26.9,I269,0,yes
I26.90,I2690,0,yes
I26.92,I2692,0,yes
I26.93,I2693,0,yes
I26.94,I2694,0,yes
I26.99,I2699,0,yes
O88.013,O88013,0,yes
O88.019,O88019,0,yes
O88.313,O88313,0,yes
O88.319,O88319,0,yes
O88.33,O8833,0,yes
T80.0XXA,T800XXA,0,yes
30230H0,30230H0,0,yes
30230K0,30230K0,0,yes
30230L0,30230L0,0,yes
30230M0,30230M0,0,yes
30230N0,30230N0,0,yes
30230P0,30230P0,0,yes
30230R0,30230R0,0,yes
30230T0,30230T0,0,yes
30230H1,30230H1,0,yes
30230K1,30230K1,0,yes
30230L1,30230L1,0,yes
30230M1,30230M1,0,yes
30230N1,30230N1,0,yes
30230P1,30230P1,0,yes
30230R1,30230R1,0,yes
30230T1,30230T1,0,yes
30233H0,30233H0,0,yes
30233K0,30233K0,0,yes
